,S,pi,pi_star,Y,Y_star
1989-03-31,1.6852,,,62.0592,76.2
1989-04-30,1.689,,,62.0424,74.2
1989-05-31,1.5715,,,61.6948,74.2
1989-06-30,1.549,,,61.6915,74.4
1989-07-31,1.666,,,61.0978,76.0
1989-08-31,1.573,,,61.6949,75.6
1989-09-30,1.6145,,,61.4839,75.2
1989-10-31,1.5775,,,61.4105,75.8
1989-11-30,1.5695,,,61.6172,75.7
1989-12-31,1.6145,,,61.9635,74.9
1990-01-31,1.6794,,,61.644,74.4
1990-02-28,1.6892,,,62.2108,75.5
1990-03-31,1.648,,,62.5068,76.0
1990-04-30,1.6389,,,62.3597,75.5
1990-05-31,1.6765,,,62.5474,76.6
1990-06-30,1.745,,,62.7541,74.8
1990-07-31,1.86,,,62.6497,74.9
1990-08-31,1.892,,,62.8761,74.5
1990-09-30,1.8735,,,62.896,74.4
1990-10-31,1.944,,,62.506,74.0
1990-11-30,1.9392,,,61.7271,73.7
1990-12-31,1.9285,,,61.2939,73.5
1991-01-31,1.965,,,61.0931,73.5
1991-02-28,1.91,,,60.6522,72.7
1991-03-31,1.7485,,,60.3069,71.7
1991-04-30,1.7225,,,60.4658,72.6
1991-05-31,1.698,,,61.0671,72.8
1991-06-30,1.618,,,61.5611,72.2
1991-07-31,1.6845,,,61.723,71.4
1991-08-31,1.68,,,61.736,71.5
1991-09-30,1.752,,,62.2464,72.4
1991-10-31,1.7425,,,62.1825,72.6
1991-11-30,1.7655,,,62.0983,72.3
1991-12-31,1.866,,,61.8108,72.3
1992-01-31,1.789,,,61.4898,72.7
1992-02-29,1.756,,,61.9299,72.4
1992-03-31,1.7363,,,62.449,72.9
1992-04-30,1.775,,,62.9312,71.4
1992-05-31,1.829,,,63.1359,72.1
1992-06-30,1.9035,,,63.1736,72.8
1992-07-31,1.92,,,63.7408,72.7
1992-08-31,1.9893,,,63.3917,73.2
1992-09-30,1.779,,,63.5927,74.0
1992-10-31,1.5625,,,64.0282,73.0
1992-11-30,1.5135,,,64.2732,72.9
1992-12-31,1.513,,,64.3668,73.0
1993-01-31,1.4855,,,64.6256,74.0
1993-02-28,1.4215,,,64.929,73.4
1993-03-31,1.509,,,64.872,73.5
1993-04-30,1.5695,,,65.0611,74.0
1993-05-31,.,,,64.8104,73.6
1993-06-30,1.493,,,64.9553,74.2
1993-07-31,1.485,,,65.1198,74.4
1993-08-31,1.4868,,,65.0494,74.7
1993-09-30,1.496,,,65.3882,74.9
1993-10-31,1.4882,,,65.8702,75.6
1993-11-30,1.4852,,,66.1779,75.8
1993-12-31,1.4775,,,66.5602,76.3
1994-01-31,1.5005,,,66.7722,76.5
1994-02-28,1.4875,,,66.8068,76.8
1994-03-31,1.488,,,67.4832,77.8
1994-04-30,1.5118,,,67.8771,78.8
1994-05-31,1.512,,,68.1961,77.9
1994-06-30,1.5483,,,68.6526,78.3
1994-07-31,1.5415,,,68.7353,78.6
1994-08-31,1.5362,,,69.1954,79.3
1994-09-30,1.577,,,69.4017,79.5
1994-10-31,1.635,,,69.969,79.4
1994-11-30,1.567,,,70.4367,80.2
1994-12-31,1.5665,,,71.1413,78.8
1995-01-31,1.5815,,,71.2762,78.9
1995-02-28,1.584,,,71.1904,79.2
1995-03-31,1.619,,,71.2891,79.8
1995-04-30,1.6091,,,71.1623,79.7
1995-05-31,1.5865,,,71.5044,79.2
1995-06-30,1.5905,,,71.743,79.7
1995-07-31,1.598,,,71.4459,79.8
1995-08-31,1.5515,,,72.38,80.1
1995-09-30,1.5795,,,72.6601,79.8
1995-10-31,1.5807,,,72.5428,80.2
1995-11-30,1.5302,,,72.7178,80.7
1995-12-31,1.5535,,,72.9672,80.3
1996-01-31,1.5096,,,72.5866,80.9
1996-02-29,1.532,,,73.6389,81.0
1996-03-31,1.5262,,,73.5202,80.0
1996-04-30,1.505,,,74.2664,80.6
1996-05-31,1.5495,,,74.8145,80.1
1996-06-30,1.5529,,,75.3779,80.0
1996-07-31,1.5556,,,75.3754,80.6
1996-08-31,1.5612,,,75.7568,81.1
1996-09-30,1.5653,,,76.2304,81.0
1996-10-31,1.6278,,,76.2193,81.5
1996-11-30,1.682,,,76.8941,81.8
1996-12-31,1.7123,,,77.3731,81.8
1997-01-31,1.6012,,,77.5138,82.1
1997-02-28,1.6287,,,78.4246,80.9
1997-03-31,1.6448,,,78.9266,82.9
1997-04-30,1.62,,,78.9924,82.6
1997-05-31,1.636,,,79.4411,82.8
1997-06-30,1.665,,,79.8048,84.5
1997-07-31,1.6388,,,80.48,83.5
1997-08-31,1.6203,,,81.2862,84.0
1997-09-30,1.6117,,,82.038,85.0
1997-10-31,1.6786,,,82.7657,85.1
1997-11-30,1.6885,,,83.4321,85.3
1997-12-31,1.6427,,,83.7826,85.3
1998-01-31,1.6325,,,84.1656,86.1
1998-02-28,1.6453,,,84.3048,86.7
1998-03-31,1.6765,,,84.3416,87.1
1998-04-30,1.6727,,,84.6263,86.4
1998-05-31,1.6308,,,85.1839,86.7
1998-06-30,1.6695,,,84.6809,86.4
1998-07-31,1.6349,,,84.3448,86.9
1998-08-31,1.676,,,86.0846,87.2
1998-09-30,1.6995,,,85.9945,87.2
1998-10-31,1.6735,,,86.5967,87.4
1998-11-30,1.6485,,,86.5114,87.7
1998-12-31,1.6628,,,86.8608,89.0
1999-01-31,1.6457,,,87.2277,89.1
1999-02-28,1.6027,,,87.7266,90.0
1999-03-31,1.614,,,87.9203,89.8
1999-04-30,1.6085,,,88.1153,90.7
1999-05-31,.,,,88.6554,90.5
1999-06-30,1.5765,,,88.5958,91.4
1999-07-31,1.6207,,,89.1235,92.1
1999-08-31,1.6086,,,89.5116,92.6
1999-09-30,1.6457,,,89.1361,92.0
1999-10-31,1.6425,,,90.2842,92.7
1999-11-30,1.5935,,,90.7631,91.5
1999-12-31,1.615,,,91.4926,92.3
2000-01-31,1.6182,,,91.4251,92.6
